"","name","review","rating"
"1","Seventh Generation Chlorine Free Baby Wipes Refill 350ct.","I use these wipes because my daughter was reacting badly to commercial wipes. She tolerates these so I will continue to use them but they are very thin and not nearly moist enough to get all the poop off without using many more wipes. I hope to find an alternative.",NA
"2","Bugaboo Frog Complete Stroller","yes, this product is sooo expensive. but it\'s worth every penny. it\'s very versatile (i can always keep my baby out of the sun by flipping the handle), easy to put together and take in and out of your car trunk, very comfortable for the baby, fits your baby from birth till a long while later, has tons of useful and cute accessories, and has great resale value.  worth every single penny.",5
"3","Sugarbooger Peek-A-Boo Silverware Set, Orange Slice","My son likes them and uses them well. The fork is just what I want. It is not too sharp and it still works.",5
"4","BRICA Seat Guardian Car Seat Protector","This seat protector works well. I just wish there was a way to hook the top part (the vertical piece) onto a back seat that doesn\'t have a head rest. We had to just fold that vertical part. I can see a baby who is older and can kick the seat getting the back of the seat all dirty unless the vertical part is hooked up.",NA
"5","Safety 1st Prograde Cabinet Lock","This is one of the few child safety devices I purchased that actually works well.  Installs easily.  Easy to open for an adult, impossible for baby.  Keeps our bathroom and kitchen cabinets safe from your little ones.  Highly recommended.  Only works on double door front cabinets.",5
"6","ProCase 2013 version ASUS MeMO Pad 8 ME180A Protective Case with bonus stylus pen - Tri-Fold Leather Cover Case exclusive for 2013 ASUS MeMO Pad 8 ME180A Tablet, Built-in Stand (Yellow)","Like it because it isn\'t too bulky, does the job. Auto sleeps tablet when closed, fits well. &#34; Leather&#34; is stiff and flat - slightly better than cardboard, but nicer than plastic. I picked yellow because I\'m sick of dark colors - can\'t find your stuff in the common tote, briefcase or purse because they tend to all be lined with black fabric. Only colors for me now - there are lots of bright ones to choose from with this case - white was not among them, so if you\'re looking for sophistication, you\'re stuck with black.",4
"7","Skip Hop Bath Spout Cover, Moby","My kids love this whale and it\'s great knowing if they fall this will protect them from the faucet. The only problem is that my faucet has a front plug for the shower, not a top plug.",4
"8","Philips Avent Advanced Orthodontic Pacifier, 6-18 Months, Colors May Vary",NA,5
"9","Arms Reach Co-Sleeper brand Mini Co-Sleeper Bassinet - Natural","Mine does NOT turn into a play yard, I don\'t understand why they don\'t advertise or inform us correctly, I loved this product until my daughter started pulling herself up to standing with the sides at five months, I went to lower the mattress and to my surprise it is sewn in one position and impossible to lower.... Maybe you can cut it but I didn\'t wanna risk ruining it... I had to go purchase one that did yesterday and sure wish it was the item I originally Baught it\'s great and totally a fair price (graco travel light portable crib)",3
"10","Dream On Me 3&quot; Portable Crib Mattress","This is a great foam mattress that serves a great purpose whether a playland mat or a nap pad it is very soft and durable!",4
"11","VTech Communications Safe &amp; Sound Digital Audio Monitor","To put it bluntly- I hate this monitor and can\'t wait to be rid of it. We received the Vtech Safe and Sound monitor as a baby shower gift. During the three months the monitor actually worked, one big problem was that the sound would inexplicably cut out for a minute or two at a time. This wasn\'t a huge deal. What was a huge deal was when the receivers simply stopped linking with the monitor after only three months of use. We called Vtech and they admitted that we had received a faulty product. They offered to replace it for free, however, we had to pay the $40 shipping charges. We just got our new monitor and plugged it in for the first time. EXACT SAME PROBLEM. I suppose I should be grateful for the three months use I got out of the old monitor, as I won\'t get a single night\'s use out of this one. I am hugely disappointed with Vtech and plan to NEVER buy one of their products again. I will NOT be replacing this monitor with another Vtech headache.Buyer beware!!!",NA
